Reading 1, 
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.3
0,0.299999
0,0.299996
0,0.299991
0,0.299984
0,0.299975
0,0.299965
0,0.299952
0,0.299938
0,0.299913
0,0.299904
0,0.299875
0,0.299864
0,0.299829
0,0.299804
0,0.299778
0,0.299754
0,0.299744
0,0.299723
0,0.299705
0,0.29969
0,0.299677
0,0.299666
0,0.299658
0,0.299651
0,0.299647
0,0.299645
0,0.299645
0,0.299647
0,0.299651
0,0.299655
0,0.299659
0,0.299663
0,0.299667
0,0.299671
0,0.299674
0,0.299677
0,0.299681
0,0.299684
0,0.299688
0,0.299691
0,0.299694
0,0.299697
0,0.2997
0,0.299702
0,0.299704
0,0.299707
0,0.29971
0,0.299712
0,0.299715
0,0.299717
0,0.29972
0,0.299722
0,0.299724
0,0.299727
0,0.299729
0,0.299731
0,0.299733
0,0.299735
0,0.299737
0,0.299739
0,0.299741
0,0.299742
0,0.29974
0,0.299737
0,0.299732
0,0.299724
0,0.299715
0,0.299704
0,0.299691
0,0.299677
0,0.29966
0,0.299642
0,0.299622
0,0.299601
0,0.299582
0,0.299565
0,0.299551
0,0.299539
0,0.29953
0,0.299522
0,0.299519
0,0.299514
0,0.299512
0,0.299512
0,0.299514
0,0.29952
0,0.299523
0,0.299531
0,0.29954
0,0.29955
0,0.29956
0,0.29957
0,0.299579
0,0.299588
0,0.299598
0,0.299607
0,0.299615
0,0.299624
0,0.299632
0,0.299639
0,0.299647
0,0.299655
0,0.299662
0,0.299669
0,0.299676
0,0.299682
0,0.299689
0,0.299695
0,0.299702
0,0.299707
0,0.299713
0,0.299719
0,0.299724
0,0.299729
0,0.299734
0,0.299739
0,0.299744
0,0.299749
0,0.299753
0,0.299758
0,0.299762
0,0.299766
0,0.299769
0,0.299769
0,0.299768
0,0.299765
0,0.299759
0,0.299751
0,0.299742
0,0.29973
0,0.299717
0,0.299702
0,0.299685
0,0.299667
0,0.299646
0,0.299624
0,0.299602
0,0.299583
0,0.299566
0,0.299551
0,0.299539
0,0.299528
0,0.29952
0,0.299515
0,0.299511
0,0.299509
0,0.299509
0,0.299511
0,0.299515
0,0.299521
0,0.299528
0,0.299534
0,0.299541
0,0.299547
